youtube_id,link_ordinal,tournament_label,player_a,player_b,score,stage,leg,start_sec,verified
_cRSiEAhUps,1,Nottingham III,Mick C,Ilker C,5-7,stream,,780,Y
_cRSiEAhUps,2,Nottingham III,James L,Mick C,3-1,stream,,1680,Y
_cRSiEAhUps,3,Nottingham III,Mick C,Steve C,3-8,stream,,5160,Y
_cRSiEAhUps,4,Nottingham III,Ian K,Mick C,3-3,stream,,5880,Y
_cRSiEAhUps,5,Nottingham III,Steve B,Mick C,10-6,stream,,7020,Y
_cRSiEAhUps,6,Nottingham III,Steve C,Mark W,5-2,stream,,8280,Y
_cRSiEAhUps,7,Nottingham III,Ilker C,Steve B,5-5,stream,,9840,Y
_cRSiEAhUps,8,Nottingham III,Mark W,Mick C,5-1,stream,,10560,Y
_cRSiEAhUps,9,Nottingham III,Steve C,James L,7-3,stream,,12420,Y
_cRSiEAhUps,10,Nottingham III,Mick C,James L,3-5,stream,,13140,Y
_cRSiEAhUps,11,Nottingham III,Mick C,Steve B,2-9,stream,,14280,Y
_cRSiEAhUps,12,Nottingham III,Steve C,Ian K,7-2,stream,,16500,Y
_cRSiEAhUps,13,Nottingham III,Ilker C,Steve C,3-4,stream,,18180,Y
_cRSiEAhUps,14,Nottingham III,Steve B,Steve C,5-4,stream,,19260,Y
_cRSiEAhUps,15,Nottingham III,Steve B,Ilker C,7-4,stream,,20160,Y
